title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
"M 6.8 - 39 km SW of Ovalle, Chile",6.8,7/11/2015 7:31,7,7,green,1,841,us,0,0.258,41,mww,46,-30.8796,-71.4519,"Ovalle, Chile",South America,Chile
"M 6.5 - 47 km NW of Maubara, Timor Leste",6.5,4/11/2015 3:44,5,7,green,0,657,us,0,1.53,21,mww,20,-8.3381,124.875,"Maubara, Timor Leste",,Indonesia
"M 7.5 - Hindu Kush region, Afghanistan",7.5,26/10/2015 9:09,8,7,orange,0,1448,us,0,0.622,18,mww,231,36.5244,70.3676,"Hindu Kush region, Afghanistan",Asia,Afghanistan
"M 7.1 - 31 km NE of Port-Olry, Vanuatu",7.1,20/10/2015 21:52,6,6,green,1,780,us,0,0.592,11,mww,135,-14.8595,167.303,"Port-Olry, Vanuatu",,Vanuatu
"M 6.6 - 28 km N of Sorong, Indonesia",6.6,24/9/2015 15:53,7,7,green,0,671,us,0,2.486,13,mww,18,-0.6212,131.262,"Sorong, Indonesia",,Indonesia
"M 6.6 - 22 km WSW of Illapel, Chile",6.6,21/9/2015 17:40,5,7,green,1,820,us,0,1.064,14,mww,35,-31.7275,-71.3792,"Illapel, Chile",South America,Chile
"M 6.7 - 61 km WNW of Illapel, Chile",6.7,17/9/2015 4:10,5,7,green,0,718,us,0,0.853,35,mww,23,-31.5173,-71.804,"Illapel, Chile",,Chile
"M 6.5 - 54 km WNW of Illapel, Chile",6.5,17/9/2015 3:55,6,7,green,0,657,us,0,0.749,62,mww,27,-31.4244,-71.6876,"Illapel, Chile",,Chile
"M 7.0 - 25 km WNW of Illapel, Chile",7,16/9/2015 23:18,8,7,green,0,799,us,0,0.903,13,mww,28.41,-31.5622,-71.4262,"Illapel, Chile",South America,Chile
"M 8.3 - 48 km W of Illapel, Chile",8.3,16/9/2015 22:54,9,8,orange,1,1960,us,0,0.684,19,mww,22.44,-31.5729,-71.6744,"Illapel, Chile",,Chile
"M 7.0 - 234 km W of Abepura, Indonesia",7,27/7/2015 21:41,9,7,green,1,762,us,0,6.278,12,mww,48,-2.6286,138.528,"Abepura, Indonesia",,Indonesia
"M 6.7 - 150 km WNW of Malango, Solomon Islands",6.7,10/7/2015 4:12,4,5,green,1,691,us,0,1.529,11,mww,12,-9.307,158.403,"Malango, Solomon Islands",,Solomon Islands
"M 6.8 - 32 km SE of ?funato, Japan",6.8,12/5/2015 21:12,8,6,green,1,831,us,0,1.422,8,mww,35,38.9056,142.032,"?funato, Japan",Asia,Japan
M 7.3 - Nepal,7.3,12/5/2015 7:05,8,7,orange,0,1563,us,0,0.677,11,mww,15,27.8087,86.0655,Nepal,Asia,Nepal
"M 7.5 - 131 km SSW of Kokopo, Papua New Guinea",7.5,5/5/2015 1:44,7,8,green,1,869,us,0,1.295,22,mww,55,-5.4624,151.875,"Kokopo, Papua New Guinea",,Papua New Guinea
"M 6.8 - 109 km SSW of Kokopo, Papua New Guinea",6.8,1/5/2015 8:06,5,6,green,1,714,us,0,1.074,23,mww,44,-5.2005,151.777,"Kokopo, Papua New Guinea",,Papua New Guinea
